Repository,User,EventType,Comment
openMF/community-app,Muciojad,IssueCommentEvent,"@gauravsaini03 okay, I'll make another PR when we finish with this, sorry for confusion. :) I marked task completed before it would be re-opened, I hope it isn't problem :)
I'll be waiting for your opinions about 'About' and tooltips.
Thanks!
"
pybuilder/pybuilder,mriehl,IssueCommentEvent,Happy new year :cocktail: :sparkles: 
martincmelik/Securix-Linux,adrelanos,IssueCommentEvent,"Implemented this here:
https://github.com/martincmelik/Securix-Linux/pull/73"
xbmc/xbmc,Montellese,IssueCommentEvent,IIRC the slash was added on purpose but I don't remember why. Maybe it has something to do with the webinterface working over a reverse proxy or something like that.
docker/machine,pandrew,IssueCommentEvent,An ESXi hypervisor and vsphere server running on the hypervisor should be sufficient to test both right?
the-teacher/the_role,the-teacher,IssueCommentEvent,"rails 4.2 ? Hm. I need few days to check TheRole with rails 4.2 
Right now I don't know where is a problem.
Try to downgrade to rails 4.1.x"
mono/monodevelop,Therzok,IssueCommentEvent,"I'm not sure about what will happen to these addins yet. They will probably be removed at the next repository reorganization. Until then, on standby until LuaBinding PR is merged.
![selfie-0](http://i.imgur.com/2CkacQ4.png)
"
reallylabs/really,ashihaby,PullRequestReviewCommentEvent,I think we aren't going to need that in the future and for the API consistency. I can discuss that with @AhmedSoliman again. you can't use one replayer to replay collection events and object events. In the future you will need two types of replayers. One will replay only `created` events and another one for object events (update and delete). So don't write code that you aren't sure that you will need that.
bitcoin/bitcoin,laanwj,IssueCommentEvent,"If you have local tool-specific files you want to ignore, there are various options.

The most common ones are to create a global gitignore (this ignores the files in every one of your git projects), or add them to project-specific `.git/info/exclude`. These files are never committed to the repository.

See also https://help.github.com/articles/ignoring-files/

Re: ctags specifically, it is possible to store the tags file outside of the repository, or in a place git won't find it inside the .git directory.

Closing this as it is specific to your setup.
"
lemire/javaewah,gssiyankai,IssueCommentEvent,"Unfortunately, the getWords method is not called in the benchmarks computing the bitmap cardinality and converting the bitmap to an array. So it cannot explain the poor performance.
Still, I just removed this method."
ldx/python-iptables,ldx,IssueCommentEvent,"If you want to batch changes, then disable autocommit, and commit manually (iptables-restore does the same). The README has some documentation on how to do this. Let me know if you need help, and I can add some more info to the docs."
CloudifySource/cloudify-widget-modules,guy-mograbi-at-gigaspaces,PullRequestReviewCommentEvent,what about removing dependency on jclouds for softlayer?
FelisCatus/SwitchyOmega,FelisCatus,IssueCommentEvent,网络问题与 SwitchySharp / SwitchyOmega 无关。如果您的网络情况无法正常连接 google ，建议在自动切换中加入 `*.google.com` 使用代理访问。
nortikin/sverchok,nortikin,IssueCommentEvent,"```
Everything Nodes

So while we’re on Particle nodes anyway – we should check on having Modifier-Nodes, Constraint-Nodes, Transform-nodes, Generative modeling Nodes, and so on.

And – why not then try to unify it into one system? Here a lot of experimenting and design work is needed still. It’s surprising and inspiring to see how well Python scripters manage to do this (partially) already.

Working on it: Lukas Toenne, Campbell Barton, …
Likely to happen in 2015: Unknown.
```
http://www.blender.org/press/18-anticipated-blender-development-projects-of-2015/"
FelisCatus/SwitchyOmega,FelisCatus,IssueCommentEvent,This is a problem with GoAgent and has nothing to do with this project.
capacity4dev/capacity4more,nader77,IssueCommentEvent,"@amitaibu ^^ 

Any better suggestions ?"
drewrwilson/lestandsjs,techieshark,IssueCommentEvent,"I think #43 implemented the backend, and #71 implements the frontend of this, so I'm going to mark this as a duplicate and complete it. Feel free to open / comment if I'm confused about something."
odoo/odoo,msh-odoo,PullRequestReviewCommentEvent,Odoo SA
jawordpressorg/wapuu,shinchaya,IssueCommentEvent,これでいけましたでしょうか？
nolimits4web/Framework7,nolimits4web,IssueCommentEvent,"You are right, there is no such callback/event. Will add it"
foudfou/FireTray,informatorius,IssueCommentEvent,"Keyboard shortcut for hiding firefox does only half of my wish.
I think a combination of ""Close all tabs"" and ""Hide Firefox to tray"" would work for me:
Given firefox window with several tabs open, 
when i click the firefox window X button,
then all tabs gets closed and firefox window hides to tray.
(Additional option ""browser.tabs.warnOnClose"" when true 
and dialog cancelled then nothing happens)"
CloudifySource/cloudify-widget-modules,guy-mograbi-at-gigaspaces,PullRequestReviewCommentEvent,What are these ids?
Courseplay/courseplay,JakobTischler,IssueCommentEvent,"> I recommend you use for sale mode 1 and start from slurry fill trigger.

Nope. Liquid manure transport is to be done in the liquid manure transport mode, as the name implies.

---

@Llogeyr: 

1. Which vehicles/tools are involved?
2. What type of trigger is the sales trigger? TipTrigger? SprayerFillTrigger? Another type?
3. Post the log.
"
revel/revel,anonx,IssueCommentEvent,"@notzippy 
1) Don't know. We should identify what exactly we are trying to achieve first. How the implementation could look like. And then decide whether standard logger is enough / any existing solution exists.
2) As early as possible. So, instead of wasting time discussing some abstract ideas we have a real PoC.
But well, I'm not an expert in the field of logging. How this problem is solved in other frameworks (Rails, Django, Play)?
"
jrossignol/ContractConfigurator,SimonTheSourcerer,IssueCommentEvent,"Nice, did some testing, looks like its a proper solution.*approve*"
websharks/zencache,jaswsinc,IssueCommentEvent,Closing this now. The PR was merged.
philsturgeon/phpversions.info,kevindierkx,IssueCommentEvent,Give me a moment
FelisCatus/SwitchyOmega,FelisCatus,IssueCommentEvent,Please upload the backup file to https://gist.github.com and paste the link here.
Wynncraft/Issues,rhbvkleef,IssueCommentEvent,"Now the quest status is started, but the book still says to talk with Lykron, He doesn't say anything and the quest status is not updated."
tgstation/-tg-station,Iamgoofball,IssueCommentEvent,"They are greyscaled. It looks better on other colors.
I'll adjust bruteblob.
Blobbernauts are adjusted, it's their nerf.
I'll add some damage stuff to stamina blob.
Different damage types do have effects, toxloss can stop you in important situations to throw up, oxyloss can speed up the crit process and prevent you being saved, and burnloss I think can light you on fire iunno
Acid is supposed to kill items, don't get up close and personal with acid blob. I'll lower it's base brute damage output though.
"
the-teacher/the_role,the-teacher,IssueCommentEvent,"and try to use master branch
I have some commits in august

https://github.com/the-teacher/the_role/commit/62b5e403b3f2d102c0dfeafcbc17519bd6576be2

it can be helpful"
CloudifySource/cloudify-widget-modules,guy-mograbi-at-gigaspaces,PullRequestReviewCommentEvent,"the logic if to update or not, should be in update function. "
danjperron/burnLVP,manojmo,IssueCommentEvent,"hi dan,

i have created the usb2ser branch for my changes. by mistake i had checked
in the cpu18f file in master,
i have reverted it back.i mean to use the code for burning the small
pic16f675 in HVP mode. will keep you posted.

regards,
manoj

On Wed, Dec 31, 2014 at 5:30 PM, Manoj Mokashi <manojmokashi@gmail.com>
wrote:

> ok.
> thanks, and wish you a happy new year too. :)
>
> On Wed, Dec 31, 2014 at 5:25 PM, danjperron <notifications@github.com>
> wrote:
>
>> Thank's manojo,
>>
>> I gave you have access to the repository. Could you create a branch and
>> push your code in.
>>
>> Whish you happy new year,
>>
>> Daniel
>>
>> —
>> Reply to this email directly or view it on GitHub
>> <https://github.com/danjperron/burnLVP/issues/2#issuecomment-68437920>.
>>
>
>"
lumapps/lumX,cvrebert,IssueCommentEvent,"Yeah, the focus remains on the ""Open Dialog"" button even after the dialog appears, so you're really just activating that button again when you click Enter like that."
glasklart/hd,dominicPereira,IssueCommentEvent,mine just says VLC  Streamer which is a paid app not the free one 
segmentio/analytics.js,yields,IssueCommentEvent,"that's definitely something we are working towards, i've been wanting to change the public api for a long time for something like:

```js
// `{...}` is just arbitrary configuration.
analytics.use(GoogleAnalytics({...}));
analytics.use(GoogleAnalytics({...}));
analytics.use(Amplitude({....}));
analytics.use(Amplitude({....}));
```

With the snippet the above would look like:

```js
analytics.add('google analytics', {...});
analytics.add('google analytics', {...});
```

cc @ianstormtaylor for some ideas :)"
jorgemanrubia/mailgun_rails,jorgemanrubia,IssueCommentEvent,Merged! Thank you so much @zedtux 
drewrwilson/lestandsjs,techieshark,IssueCommentEvent,"I haven't looked into this, but perhaps this will help? http://awkward.github.io/backbone.modal/

@drewrwilson do you want to take a stab at this?"
tgstation/-tg-station,Iamgoofball,IssueCommentEvent,"They are greyscaled. It looks better on other colors.
I'll adjust bruteblob.
Blobbernauts are adjusted, it's their nerf.
I'll add some damage stuff to stamina blob.
Different damage types do have effects, toxloss can stop you in important situations to throw up, oxyloss can speed up the crit process and prevent you being saved, and burnloss I think can light you on fire iunno
Acid is supposed to kill items, don't get up close and personal with acid blob. I'll lower it's base brute damage output though.
"
atgreen/libffi,koobs,IssueCommentEvent,@seanbruno Pull request?
i-rinat/freshplayerplugin,Bevito,IssueCommentEvent,"It worked.
Thanks a lot !
That's worderfull.
"
CloudifySource/cloudify-widget-modules,guy-mograbi-at-gigaspaces,PullRequestReviewCommentEvent,yey!!! nice comment. 
OpenCobolIDE/OpenCobolIDE,ColinDuquesnoy,IssueCommentEvent,"> The navigation outline should not show the 88 values only W-RUBRIC-SPEC PIC X(10)

@Bofinken Indeed, it was present before. I'll fix that for the final release ;) thanks!

> Can using cygwin reduce the dependency on visual studio?

Yes but I guess you'll probably have to compile both mysql connector and GnuCobol with cygwin.

> And another problem that has cropped up is that my govt has banned github in india, so am not able to pull your source. 

That's annoying. No, not at the moment. There are no up to date source mirrors but I can try to create one on launchpad.net if it is available for you."
rg3/youtube-dl,corone17,IssueCommentEvent,"I was getting used to youtube-dl being updated at least once a week. Now 2014.12.17.2 is still the latest version. I would love to test this fix of yours, dstftw, but youtube-dl needs to be updated first.
(Or if someone can explain to me step-by-step how I can compile the exe-file myself, I would welcome that too. I'm no programmer, sorry.)"
